Hari,Tanggal,Platform,Waktu,Tipe Konten,Judul/Caption,Hashtags,Prompt Gambar,Script Video HeyGen
8,Senin,IG Carousel @petrusjakub,07:00 WIB,Carousel 5 slides,"5 Mitos Asuransi yang Bikin Orang Indonesia Rugi 🚫 Mitos 1: Asuransi itu penipuan. Mitos 2: Masih muda ga butuh. Mitos 3: Mahal dan ga worth it. Mitos 4: BPJS sudah cukup. Mitos 5: Nanti aja kalau sudah mapan. FAKTA: Semua ini SALAH. Swipe untuk penjelasannya! WA 087781896087","#mitos #asuransi #edukasi #literasikeuangan #fakta #salahkaprah #manulife #proteksi #indonesia #viral","An Indonesian man age 30-35 wearing glasses and smart casual shirt standing in front of a large screen showing 5 MITOS ASURANSI with red X marks on each myth. He has a knowing smile and is pointing at the screen. Modern presentation room with minimalist decor. On the back wall illuminated letters spell @ngobras.santuy in warm white. The podium has a small plaque reading 087781896087. Bright even lighting professional corporate setting. 4K photorealistic",
8,Senin,TikTok + IG Reels @ngobras.santuy,19:00 WIB,Skit Video 45 detik,"POV: Teman kamu bilang asuransi itu tipu-tipu 🙄 Pernah denger ini? Yuk kita luruskan! Tag temanmu yang masih mikir gini. WA 087781896087","#skit #asuransi #fyp #ngobrassantuy #mitos #tiputipu #fakta #edukasi #lucu #viral","Two Indonesian friends in a trendy coffee shop one looking skeptical with arms crossed the other looking exasperated trying to explain. Coffee cups on table between them. The coffee shop exposed brick wall has chalk art reading @ngobras.santuy clearly. The cafe window decal shows 087781896087. Warm cafe lighting with hanging edison bulbs cozy atmosphere. 4K photorealistic candid style","[0-3s HOOK] Avatar Pria tirukan suara teman: Asuransi? Itu mah tipu-tipu! Duit ilang doang! [4-15s] Avatar Pria normal: Oke bestie mari kita bahas. Fakta nomor 1: Asuransi itu diawasi OJK. Kalau tipu-tipu ya udah ditutup dong. [16-25s] Fakta 2: Klaim itu PASTI dibayar selama sesuai polis. Yang ditolak biasanya karena ga baca polisnya sendiri. [26-38s] Fakta 3: Lu bayar Netflix tiap bulan tapi ga pernah nonton semua filmnya. Sama dong konsepnya. Yang penting PROTEKSI-nya ada saat dibutuhkan. [39-45s CTA] Mau tau fakta lainnya? WA 087781896087. Share ke teman yang masih ragu! @ngobras.santuy"
9,Selasa,FB Petrus Jakub + Threads,12:00 WIB,Storytelling Long Post,"Saya dulu juga ANTI asuransi. Sampai kejadian ini mengubah pikiran saya... 🔄 Jujur dulu saya pikir asuransi itu buang-buang duit. Sampai tetangga saya usia 42 tahun didiagnosa kanker usus. Biaya kemo 6 siklus = 600 juta. Dia ga punya asuransi. Rumah dijual. Tabungan anak sekolah habis. Dari situ saya sadar: asuransi bukan untuk yang sakit. Asuransi untuk yang BELUM sakit agar ga jatuh miskin KALAU sakit. Sekarang saya bantu orang lain biar ga mengalami hal yang sama. WA 087781896087","#cerita #pengalaman #proteksi #kisahnyata #asuransi #kanker #biaya #sadar #mindset #manulife",,
9,Selasa,IG Reels @petrusjakub,18:00 WIB,Video Tips 45 detik,"Cara Pilih Asuransi yang Benar - 3 Checklist WAJIB ✅ Jangan asal beli! Pastikan 3 hal ini: 1) Perusahaannya terdaftar OJK 2) Baca pengecualiannya 3) Pilih yang TANPA survival period. MCCP Manulife? Cek semua! WA 087781896087","#tips #asuransi #checklist #caramemilih #OJK #manulife #MCCP #proteksi #edukasi #smart","An Indonesian man age 30-35 in white shirt holding a clipboard with green checkmarks beside each item. He is in a bright modern home office with bookshelf behind him. His expression is helpful and advisory. On the bookshelf a decorative piece reads @ngobras.santuy. On his desk a nameplate shows Petrus Jakub 087781896087. Soft natural window lighting creating professional yet approachable atmosphere. 4K photorealistic","[0-3s HOOK] Avatar Pria serius: JANGAN beli asuransi sebelum cek 3 hal ini! [4-18s] Nomor 1: Pastikan perusahaannya terdaftar di OJK. Bukan abal-abal bukan MLM. Cek di website OJK langsung. [19-32s] Nomor 2: Baca PENGECUALIAN-nya. Ini yang sering orang skip. Tau apa yang TIDAK ditanggung itu sama pentingnya dengan yang ditanggung. [33-42s] Nomor 3: Pilih yang TANPA survival period. Artinya begitu diagnosa keluar klaim langsung bisa diproses. MCCP Manulife punya ini! [43-45s CTA] Mau saya bantu cek? WA 087781896087. @ngobras.santuy"
10,Rabu,All Platform,07:00 WIB,Carousel Edukasi,"Perbedaan Asuransi Kesehatan vs Asuransi Penyakit Kritis 🏥 vs 🛡️ Banyak yang bingung. Ini bedanya! Asuransi Kesehatan = bayar biaya RS (rawat inap opname dokter). Asuransi Penyakit Kritis = bayar LANGSUNG uang tunai saat didiagnosa penyakit berat. Dua-duanya PENTING dan saling melengkapi! WA 087781896087","#edukasi #kesehatan #penyakitkritis #manulife #perbedaan #asuransi #proteksi #MCCP #belajar #literasi","A split comparison infographic style image. Left side shows hospital room with medical equipment labeled Asuransi Kesehatan in blue. Right side shows a family receiving a large check labeled Asuransi Penyakit Kritis in green. An Indonesian man stands in the middle pointing to both sides explaining. Background wall has @ngobras.santuy in metallic letters. Floor banner reads 087781896087. Clean bright educational style lighting. 4K photorealistic infographic",
10,Rabu,TikTok @ngobras.santuy,21:00 WIB,Q&A Video 60 detik,"Jawab Pertanyaan Followers Tentang Asuransi Part 1 🙋‍♂️ Q: Usia berapa sebaiknya mulai? A: SEKARANG! Makin muda makin murah. Q: Kalau ga pernah klaim rugi dong? A: MCCP ada End of Term Benefit di usia 85! Q: Berapa premi minimal? A: Mulai 500rb-an per bulan! WA 087781896087 untuk tanya lebih lanjut","#qna #asuransi #ngobrassantuy #jawab #pertanyaan #followers #edukasi #manulife #fyp #viral","An Indonesian man age 30-35 sitting casually on a modern sofa in a living room setup like a podcast recording. He holds his phone showing question bubbles. Warm cozy living room with plants and soft lighting. Behind the sofa a large canvas print reads @ngobras.santuy. On the coffee table a small tent card shows WA 087781896087. Ring light visible creating bright face lighting. 4K photorealistic casual interview style","[0-3s HOOK] Avatar Pria baca HP: Banyak banget yang tanya soal asuransi. Yuk kita jawab! [4-20s] Pertanyaan pertama dari @follower: Usia berapa sebaiknya mulai asuransi? Jawabannya: SEKARANG. Kenapa? Karena makin muda preminya makin murah dan kesehatanmu masih bagus jadi ga perlu medical check up ribet. [21-40s] Pertanyaan kedua: Kalau ga pernah sakit dan ga pernah klaim berarti rugi dong? NAH ini yang unik dari MCCP. Di usia 85 kalau kamu ga pernah klaim kamu TETAP dapat 100 persen Uang Pertanggungan! Jadi ga ada yang namanya rugi. [41-55s] Pertanyaan ketiga: Berapa premi paling murah? Mulai dari 500 ribuan per bulan sudah bisa punya proteksi ratusan juta. [56-60s CTA] Ada pertanyaan lain? Langsung aja WA 087781896087 atau tulis di kolom komentar! @ngobras.santuy"
11,Kamis,IG + FB,12:00 WIB,Testimoni Post + Image,"Client usia 32 tahun premi 1.5jt per bulan sekarang punya proteksi 1 MILIAR 💪 Dia bilang: Pak Petrus awalnya saya ragu. Tapi setelah konsultasi saya sadar 1.5 juta per bulan itu lebih murah dari biaya RS 1 hari. Sekarang saya tenang karena keluarga saya terlindungi. Mau seperti dia? Konsultasi gratis WA 087781896087","#testimoni #client #proteksi #manulife #1miliar #premi #keluarga #tenang #konsultasi #gratis","A happy young Indonesian professional age 32 giving thumbs up in a bright cafe setting with a coffee and documents on table. He looks relieved and satisfied. Soft focus background shows the cafe wall with @ngobras.santuy written in decorative script. On the table beside the coffee cup a business card clearly shows 087781896087. Warm natural lighting from large windows. Genuine smile authentic moment. 4K photorealistic testimonial style",
11,Kamis,Threads @projectcuan_,20:00 WIB,Thread Panjang,"Kenapa orang kaya PASTI punya asuransi? 🧵 5 alasan yang mungkin belum kamu pikirkan. 1) Mereka tau cara TRANSFER risiko. 2) Mereka ga mau aset dijual darurat. 3) Mereka pikirkan 3 generasi ke depan. 4) Mereka tau health is wealth. 5) Mereka tau premi itu MURAH dibanding risiko. Jadi asuransi bukan buat orang miskin atau orang kaya. Asuransi buat orang CERDAS. WA 087781896087","#orangkaya #asuransi #thread #alasan #keuangan #wealth #cerdas #mindset #proteksi #literasi",,
12,Jumat,TikTok + IG Reels,07:00 WIB,Hook Video 30 detik,"Tabunganmu CUMA cukup bayar RS berapa hari? 🏥💸 Coba hitung: Tabunganmu sekarang dibagi 3 juta per hari (biaya RS rata-rata). Hasilnya? Berapa hari doang kan? Ngeri ga? Proteksi sekarang WA 087781896087","#realita #tabungan #rumahsakit #fyp #biaya #ngeri #asuransi #proteksi #hitung #ngobrassantuy","Close-up of an Indonesian person looking at phone calculator with shocked worried expression. The calculator screen shows a division sum result of only 15 days. Hospital corridor blurred in background. On the hospital corridor wall a poster shows @ngobras.santuy. The information board behind shows emergency contact 087781896087. Cold fluorescent hospital lighting creating urgency mood. 4K photorealistic dramatic","[0-3s HOOK] Avatar Pria: Coba hitung sekarang! Tabunganmu dibagi 3 juta. [4-15s] Kenapa 3 juta? Karena itu rata-rata biaya RS per HARI di Jakarta. Rawat inap biasa ya bukan ICU. [16-25s] Jadi kalau tabunganmu 50 juta kamu cuma kuat 16 hari. Kalau kena penyakit kritis? Butuh berbulan-bulan. Habis deh. [26-30s CTA] Serem kan? Makanya proteksi itu WAJIB. WA 087781896087 sekarang! @ngobras.santuy"
12,Jumat,YouTube Shorts,12:00 WIB,Explainer 45 detik,"Survival Period Itu Apa? Kenapa MCCP Ga Punya? 🤔 Di banyak asuransi ada yang namanya survival period. Artinya setelah diagnosa kamu harus bertahan hidup 30 hari dulu baru bisa klaim. Bayangin kalau ga bertahan? MCCP TIDAK punya survival period. Diagnosa keluar = langsung klaim! WA 087781896087","#explainer #MCCP #manulife #survivalperiod #klaim #cepat #keunggulan #asuransi #proteksi #terbaik","An educational graphic style showing a timeline. On one side labeled Other Insurance a 30-day waiting period is shown in red. On the other side labeled MCCP a direct green arrow shows immediate claim. An Indonesian presenter stands beside it explaining. Office wall shows @ngobras.santuy in LED lights. Bottom of timeline graphic shows 087781896087. Bright clean educational lighting. 4K photorealistic","[0-3s HOOK] Avatar Pria: Tau ga kenapa banyak klaim asuransi DITOLAK? Salah satunya karena ini. [4-20s] Namanya SURVIVAL PERIOD. Di banyak produk asuransi setelah kamu didiagnosa penyakit kritis kamu harus bertahan hidup dulu 30 hari baru boleh klaim. [21-35s] Masalahnya kalau pasiennya ga bertahan 30 hari? Ya klaimnya HANGUS. Keluarga ga dapat apa-apa. [36-42s] MCCP Manulife TIDAK PUNYA survival period! Begitu diagnosa keluar langsung bisa proses klaim. [43-45s CTA] Mau produk yang berpihak ke nasabah? WA 087781896087. @ngobras.santuy"
