Hari,Tanggal,Platform,Waktu,Tipe Konten,Judul/Caption,Hashtags,Prompt Gambar,Script Video HeyGen
15,Senin,All Platform,07:00 WIB,Motivasi + Rekrutmen,"Dari karyawan biasa jadi punya passive income 20jt per bulan 🚀 Ini bukan clickbait. Ini realita. Bisnis asuransi itu bukan jualan pintu ke pintu kayak 10 tahun lalu. Sekarang pakai digital marketing dan personal branding. Yang kamu butuhkan: kerja keras + sistem yang benar + mentor yang support. Mau tau caranya? DM BISNIS atau WA 087781896087","#passiveincome #bisnisasuransi #peluangbisnis #karir #20juta #karyawan #resign #freedom #manulife #ngobrassantuy","A successful Indonesian man age 30-35 in premium casual outfit standing on a beautiful rooftop terrace with laptop and phone showing income dashboard graphs going up. City skyline behind him during golden hour. He looks confident and free with arms slightly spread. On the rooftop glass barrier etched text @ngobras.santuy clearly visible. A small cafe table has business cards showing 087781896087. Golden sunset lighting creating aspirational mood. 4K photorealistic lifestyle",
15,Senin,TikTok @ngobras.santuy,21:00 WIB,Day In Life Video 60 detik,"Day in my life sebagai Business Partner Manulife ☀️ Pagi: Coffee + review goals. Siang: Meeting client online dari rumah. Sore: Mentoring tim. Malam: Quality time keluarga. No commute. No boss. No limit. Mau life kayak gini? WA 087781896087","#dayinmylife #manulife #bisnis #fyp #routine #freedom #workfromhome #entrepreneur #ngobrassantuy #lifestyle","A series of lifestyle shots of an Indonesian man. Scene 1: Morning coffee at home desk with laptop. Scene 2: Video call on screen with clients. Scene 3: Mentoring young team in casual setting. Scene 4: Playing with family in living room evening. Modern comfortable home throughout. Living room wall art shows @ngobras.santuy. Home office desk has framed photo showing WA 087781896087. Warm natural lighting throughout transitioning from morning to evening. 4K photorealistic documentary style","[0-5s] Text: Day in my life - Business Partner Manulife. Avatar Pria di dapur: Pagi biasanya saya mulai jam 7 dengan kopi dan review target. [6-15s] Di meja kerja: Jam 9 saya online meeting sama client baru. Semuanya dari rumah ga perlu macet-macetan. [16-30s] Siang santai: Lunch break mau berapa lama terserah saya. Ga ada boss yang timing. Jam 2 mentoring tim secara virtual. [31-45s] Sore: Jam 4 udah selesai. Quality time sama keluarga jalan-jalan sore. [46-55s] Malam: Recap hari ini. Alhamdulillah closing 2 hari ini. Income? No limit. [56-60s CTA] Mau punya life kayak gini? Mulai dari 0 juga bisa. WA 087781896087. @ngobras.santuy"
16,Selasa,IG Carousel @petrusjakub,12:00 WIB,Carousel Rekrutmen 6 slides,"5 Alasan Kenapa Jadi Agen Asuransi di 2025 Masih SANGAT Relevan 🎯 1) Pasar masih LUAS - penetrasi asuransi Indonesia baru 3 persen. 2) Income TANPA BATAS - top agent bisa ratusan juta per bulan. 3) Waktu FLEKSIBEL - kerja kapan saja dari mana saja. 4) MEMBANTU orang - profesi mulia melindungi keluarga. 5) PASSIVE INCOME - renewal commission setiap tahun. Tertarik? WA 087781896087","#agen #asuransi #karir2025 #peluang #income #fleksibel #bisnis #manulife #rekrutmen #jointeam","An inspiring flat lay career opportunity poster style. Shows icons of money growth clock flexibility handshake helping and passive income streams. Center shows Manulife green branding. Modern clean design. At bottom clearly shows @ngobras.santuy and WA 087781896087. Professional recruitment poster aesthetic bright green and white color scheme. 4K clean graphic design style",
16,Selasa,Threads @projectcuan_,20:00 WIB,Thread Panjang,"Income agen asuransi: dari 0 sampai ratusan juta. Begini caranya 🧵 Thread panjang karena banyak yang penasaran. Level 1: Agen baru bulan 1-3 fokus belajar dan first closing. Income 5-15jt. Level 2: Bulan 4-12 sudah punya client base. Income 15-50jt per bulan. Level 3: Tahun 2+ sudah punya tim. Income 50-200jt per bulan dari personal + override. Level 4: Agency Leader. Income unlimited. Saya di level berapa? Chat WA 087781896087 dan saya ceritakan journey saya.","#income #agen #bisnis #journey #level #karir #manulife #thread #uang #peluang",,
17,Rabu,FB + IG,07:00 WIB,Testimoni Agen,"Agen baru saya 3 bulan pertama sudah closing 15 polis! 🎉 Namanya saya rahasiakan tapi ceritanya boleh saya share. Dia join tim saya bulan Januari. Background: marketing di perusahaan FMCG. Zero pengalaman asuransi. Tapi dia coachable mau belajar dan konsisten follow up. Hasilnya? 15 polis dalam 3 bulan! Income bulan ke-3 sudah 18 juta. Mau seperti dia? Saya mentoring langsung. WA 087781896087","#testimoni #sukses #agen #manulife #closing #polis #mentor #jointeam #inspirasi #bisnis","A celebratory scene in a modern office. A young Indonesian professional looking proud holding a certificate or award. Beside him an older mentor figure (30-35) is clapping and smiling. Confetti or congratulatory decorations subtle. Office wall has @ngobras.santuy in corporate lettering. A congratulations banner shows contact 087781896087. Bright cheerful office lighting. 4K photorealistic achievement moment",
17,Rabu,TikTok @ngobras.santuy,19:00 WIB,Skit Video 45 detik,"POV: Interview kantor vs interview jadi agen asuransi 😂 Interview kantor: Gaji 5 juta take it or leave it. Lembur? Iya dong. Libur? Tunggu setahun. Interview agen: Income? Terserah kamu. Kerja kapan? Terserah kamu. Target? KAMU yang tentukan. Mau yang mana? WA 087781896087","#skit #interview #agen #fyp #humor #kantor #bisnis #ngobrassantuy #karir #pilihan","Split screen comedy. Left side: boring corporate interview room with stern interviewer and nervous candidate in gray tones. Right side: casual bright coffee shop meeting with friendly mentor and excited candidate in warm vibrant tones. Left wall shows clock ticking. Right wall has @ngobras.santuy neon sign glowing. Right table has napkin with 087781896087 written casually. Contrasting lighting cold vs warm. 4K photorealistic comedic","[0-3s HOOK] Avatar Pria: Interview kantor vs interview jadi agen. Siap? [4-20s] SCENE 1 - KANTOR: Avatar serius jadi HRD: Gajinya 5 juta. Probation 3 bulan. Lembur bisa sampai jam 10 malam. Cuti? Setelah setahun baru dapat 12 hari. Avatar jadi kandidat: nervous nod. [21-38s] SCENE 2 - AGEN: Avatar santai jadi mentor: Income? Tergantung effort kamu. Ada yang bulan pertama sudah 10 juta. Kerja kapan? Kamu atur sendiri. Target? Kamu yang tentukan mau berapa. Oh iya ga ada lembur karena kamu bosnya sendiri. [39-45s CTA] Avatar normal: Jadi mau yang mana? Kalau pilih yang kanan DM atau WA 087781896087. @ngobras.santuy"
18,Kamis,IG Reels + TikTok,12:00 WIB,Edukasi Video 45 detik,"5 Skill yang Kamu Butuhkan Jadi Agen Asuransi Sukses 📚 1) Communication - bisa ngobrol dan dengerin. 2) Empathy - genuinely care sama client. 3) Consistency - ga gampang nyerah. 4) Digital savvy - paham sosmed dan marketing. 5) Coachable - mau belajar dan diajarin. Ga perlu pengalaman! Yang penting MAU. WA 087781896087","#skill #agen #development #ngobrassantuy #belajar #sukses #communication #consistency #manulife #karir","An Indonesian man age 30-35 in casual smart outfit standing in front of a modern whiteboard listing 5 skills with colorful markers and icons. He holds a marker and is checking off each skill enthusiastically. Bright modern training room with motivational quotes on side walls. Main wall shows @ngobras.santuy in wooden letter decor. Whiteboard corner shows WA 087781896087. Bright even classroom lighting energetic atmosphere. 4K photorealistic","[0-3s HOOK] Avatar Pria: Mau jadi agen sukses? Ini 5 skill yang kamu HARUS punya! [4-12s] Nomor 1: Communication. Bukan berarti harus jago ngomong. Tapi harus bisa MENDENGARKAN apa yang client butuhkan. [13-20s] Nomor 2: Empathy. Client bukan ATM. Mereka manusia yang butuh solusi. Kalau kamu genuinely care mereka akan percaya. [21-28s] Nomor 3: Consistency. 90 persen agen gagal karena berhenti terlalu cepat. Yang sukses itu yang BERTAHAN. [29-36s] Nomor 4: Digital savvy. Zaman sekarang jualan ga harus door to door. Sosmed dan personal branding itu senjata utama. [37-42s] Nomor 5: Coachable. Mau diajarin mau terima feedback mau terus improve. [43-45s CTA] Punya 5 skill ini? Join tim saya! WA 087781896087. @ngobras.santuy"
18,Kamis,FB Page Cerdas Cuan,19:00 WIB,Artikel Panjang,"Perbedaan Agen vs Business Partner di Manulife 🏢 Banyak yang tanya apa bedanya agen biasa dengan Business Partner? AGEN: Fokus selling produk ke client. Income dari komisi per polis. BUSINESS PARTNER: Selling + building team. Income dari komisi PLUS override dari production tim. Ibaratnya agen itu sales. Business Partner itu entrepreneur yang punya tim sales sendiri. Saya saat ini sebagai Business Partner dan saya buka kesempatan untuk siapa saja yang mau mulai journey ini. WA 087781896087","#manulife #karir #bisnis #agen #businesspartner #perbedaan #entrepreneur #tim #peluang #income",,
19,Jumat,All Platform,07:00 WIB,Motivasi Quote + Image,"Kebebasan waktu > Gaji besar. Setuju? ⏰💰 Apa gunanya gaji 30 juta kalau ga pernah ketemu anak? Apa gunanya bonus besar kalau kesehatan rusak? Bisnis yang benar memberikan DUIT + WAKTU + KESEHATAN. Itu yang saya temukan di sini. WA 087781896087","#freedom #waktu #bisnis #mindset #motivasi #gajivstime #kebebasan #entrepreneur #priority #life","A powerful contrast image. An Indonesian man in two scenes side by side. Left: in stuffy office late at night looking exhausted surrounded by papers dim lighting. Right: same man in casual clothes playing with his child in a park during daytime laughing. Park bench has carved text @ngobras.santuy. The office clock shows late hour with sticky note 087781896087. Dramatic contrast between dark stressed left and bright happy right. 4K photorealistic emotional",
19,Jumat,TikTok @ngobras.santuy,21:00 WIB,Trending Audio Video 30 detik,"Quiet quitting vs building your empire 👑 Yang satu menyerah pada keadaan. Yang satu menciptakan keadaan. Kamu tim yang mana? Kalau mau build your empire mulai dari sini. WA 087781896087","#quietquitting #empire #fyp #mindset #bisnis #entrepreneur #choice #ngobrassantuy #2025 #viral","A dramatic cinematic shot of a young Indonesian man standing at a crossroads literally. Left path is gray and ordinary leading to a cubicle. Right path is golden and bright leading to a modern lifestyle scene. The man is stepping toward the right path confidently. At the crossroads a signpost shows @ngobras.santuy pointing right. The golden path has stepping stones with 087781896087 engraved. Dramatic directional lighting golden right dark left. 4K photorealistic cinematic","[0-3s] Trending audio plays. Text: Quiet quitting vs Building your empire. [4-15s] Avatar Pria: Quiet quitting itu pilihan. Tapi building your own thing? Itu juga pilihan. [16-25s] Bedanya: yang satu kamu tetap stuck di tempat yang sama. Yang satu kamu punya potensi unlimited. [26-30s CTA] Mau mulai build? WA 087781896087. Tim saya ready support kamu. @ngobras.santuy"
