Hari,Tanggal,Platform,Waktu,Tipe Konten,Judul/Caption,Hashtags,Prompt Gambar,Script Video HeyGen
1,Senin,IG Reels + TikTok,07:00 WIB,Video Reels 60 detik,"3 Hal yang Bikin Keluargamu Bangkrut Mendadak 💥 Kamu pikir hidupmu aman? Coba pikir lagi. Ada 3 hal yang bisa bikin keluargamu bangkrut dalam hitungan minggu. Nomor 3 paling sering terjadi! Simak sampai habis dan share ke orang yang kamu sayang. WA 087781896087","#literasikeuangan #asuransi #proteksikeluarga #ngobrassantuy #cerdascuan #penyakitkritis #manulife #financialplanning #keluarga #fyp","A confident Indonesian man age 30-35 wearing navy blazer and white shirt standing in front of a modern whiteboard with financial charts showing medical costs. The man has a serious concerned expression pointing at the board. On the wall behind him there is a clearly visible green neon sign text @ngobras.santuy. Through the large window a Jakarta building is visible with digital billboard showing 087781896087. Modern co-working space with plants and warm natural lighting. Shot from slightly below eye level. 4K photorealistic","[0-3s HOOK] Avatar Pria berdiri dengan ekspresi serius: Tau ga? 3 hal ini bisa bikin keluargamu BANGKRUT mendadak! [4-20s] Nomor satu - Penyakit kritis. Biaya pengobatan kanker di Indonesia bisa sampai 800 juta rupiah. Cukup ga tabunganmu? [21-35s] Nomor dua - Kehilangan pencari nafkah. Kalau kamu tiba-tiba ga bisa kerja siapa yang bayar cicilan rumah dan sekolah anak? [36-50s] Nomor tiga - Ga punya dana darurat. 70 persen orang Indonesia ga punya tabungan cukup untuk 3 bulan pengeluaran. [51-60s CTA] Avatar tersenyum: Kabar baiknya semua ini bisa diantisipasi. Chat saya di WA 087781896087 atau klik link di bio. Saya Petrus Jakub siap bantu proteksi keluargamu. Text overlay: @ngobras.santuy | 087781896087"
1,Senin,Threads @projectcuan_,20:00 WIB,Text Thread,"Gaji 10 juta tapi ga punya proteksi = bom waktu 💣 Thread 🧵 Serius. Coba hitung: biaya rawat inap 1 hari di RS swasta Jakarta = 2-5 juta. Operasi jantung = 300-700 juta. Kemo = 50-100 juta per siklus. Tabunganmu cukup? Kalau jawabannya TIDAK maka kamu butuh proteksi sekarang bukan nanti. Chat WA 087781896087","#keuangan #asuransi #proteksi #penyakitkritis #literasikeuangan #threadsindonesia #edukasi #manulife",,
2,Selasa,FB Page Cerdas Cuan + IG Carousel @petrusjakub,12:00 WIB,Carousel 5 slides,"Penyakit Kritis Bisa Habiskan Tabungan 10 Tahun dalam 3 Bulan 😱 Slide 1: Fakta mengejutkan tentang biaya RS. Slide 2: Kanker = 500-800 juta. Slide 3: Jantung = 300-700 juta. Slide 4: Stroke = 200-500 juta. Slide 5: Solusinya? MCCP Manulife proteksi 150 penyakit kritis. Konsultasi GRATIS WA 087781896087","#penyakitkritis #asuransikesehatan #manulife #financialfreedom #proteksikeluarga #MCCP #edukasikeuangan #biayarumahsakit #kanker #jantung","A serious Indonesian man age 30-35 in smart casual white shirt standing beside a large infographic display showing hospital cost breakdown in Indonesian Rupiah. The infographic shows cancer 800jt and heart 700jt and stroke 500jt with red warning icons. On the office wall behind there is clearly visible brushed metal text @ngobras.santuy. On the desk a business card holder displays 087781896087. Modern bright office with glass walls and warm lighting. 4K photorealistic editorial style",
2,Selasa,TikTok @ngobras.santuy,19:00 WIB,Skit Video 45 detik,"POV: Kamu ditolak klaim karena ga jujur riwayat kesehatan 🤦‍♂️ Jangan sampai kejadian! Selalu jujur saat isi SPAJ ya. Konsultasi gratis WA 087781896087","#asuransi #tips #fyp #ngobrassantuy #klaim #spaj #jujur #proteksi #manulife #viral","Two Indonesian men in a modern insurance office. One man looks shocked and disappointed holding a rejection letter. The other man behind the desk looks sympathetic. On the office wall a large neon sign reads @ngobras.santuy in green. The glass door of the office has frosted text 087781896087. Bright corporate lighting with blue and white interior. 4K photorealistic","[0-3s HOOK] Avatar Pria ekspresi panik: DITOLAK?! Klaimnya ditolak?! [4-15s] Avatar kedua (suara narrator): Banyak orang ga sadar waktu daftar asuransi mereka ga jujur soal riwayat kesehatan. [16-30s] Contohnya: pernah darah tinggi tapi ga ditulis. Pernah operasi kecil tapi dilupakan. Pernah minum obat rutin tapi ga disebutkan. [31-40s] Hasilnya? Saat klaim DITOLAK karena dianggap menyembunyikan informasi. [41-45s CTA] Makanya selalu jujur saat isi SPAJ. Mau konsultasi biar aman? WA 087781896087. @ngobras.santuy"
3,Rabu,IG Carousel @petrusjakub,07:00 WIB,Carousel Edukasi 6 slides,"Apa itu MCCP? Proteksi 150 Penyakit Kritis Sampai Usia 85 🛡️ MCCP = Manulife Critical Care Protection. Slide 1: Apa itu MCCP? Slide 2: 150 penyakit kritis dilindungi. Slide 3: Tanpa survival period - klaim langsung! Slide 4: Plan 1 vs Plan 2. Slide 5: End of Term Benefit di usia 85. Slide 6: Konsultasi GRATIS WA 087781896087","#MCCP #manulife #asuransipenyakitkritis #proteksi #penyakitkritis #asuransi #plan #kesehatan #edukasikeuangan #indonesia","A professional Indonesian man age 30-35 wearing navy suit standing confidently in front of a large presentation screen showing MCCP Manulife Critical Care Protection with green branding and shield icon. He is gesturing toward the screen with one hand. On the conference room wall there is illuminated text @ngobras.santuy in white LED letters. The bottom of the presentation screen shows contact 087781896087. Modern boardroom with warm wood accents and soft overhead lighting. 4K photorealistic corporate photography",
3,Rabu,Threads @projectcuan_,20:00 WIB,Hot Take Text,"Unpopular opinion: Asuransi itu bukan pengeluaran itu investasi cinta ❤️ Kamu bayar Netflix 200rb/bulan buat hiburan. Kamu bayar kopi 50rb/hari buat mood. Tapi bayar asuransi 500rb/bulan buat proteksi keluarga? Kemahalan? Coba pikir ulang prioritasmu. WA 087781896087","#asuransi #opinion #unpopularopinion #cinta #keluarga #prioritas #proteksi #literasikeuangan #mindset",,
4,Kamis,YouTube Shorts + TikTok,10:00 WIB,Video Short 45 detik,"Berapa Sih Premi Asuransi Penyakit Kritis? Mulai dari segini loh! 💰 Banyak yang mikir asuransi itu mahal. Padahal premi MCCP mulai dari 1 jutaan per bulan untuk proteksi 1 Miliar! Mau hitung premi yang cocok buat kamu? WA 087781896087","#premi #asuransi #manulife #ngobrassantuy #MCCP #murah #proteksi #keuangan #fyp #terjangkau","An Indonesian man age 30-35 in casual smart outfit polo shirt sitting at a modern desk with a calculator and laptop showing premium calculation. He is smiling and holding up fingers showing a number. Behind him on the wall is a bright neon sign @ngobras.santuy in green glow. On the laptop screen edge a sticker shows 087781896087. Bright natural daylight from side window creating warm atmosphere. Clean minimal desk setup. 4K photorealistic","[0-3s HOOK] Avatar Pria dengan ekspresi heran: Banyak yang bilang asuransi itu MAHAL. Bener ga sih? [4-20s] Oke coba kita hitung. MCCP Manulife proteksi penyakit kritis sampai 1 MILIAR rupiah. Preminya? Mulai dari 1 jutaan per bulan! [21-35s] Itu artinya kurang dari 35 ribu per hari. Lebih murah dari kopi kekinian kamu! Dan yang kamu dapat? Proteksi 150 penyakit kritis sampai usia 85 tahun. [36-45s CTA] Mau hitung premi yang pas buat usia dan budgetmu? Chat saya WA 087781896087. Gratis konsultasinya! @ngobras.santuy"
4,Kamis,FB Petrus Jakub,19:00 WIB,Storytelling Post,"Cerita yang bikin saya makin yakin jadi agen asuransi... Ada client saya usia 38 tahun. Sehat bugar olahraga rutin. Tiba-tiba kena stroke. Biaya RS 3 minggu = 450 juta. Untungnya dia sudah punya proteksi. Klaimnya cair dalam 14 hari kerja. Keluarganya bisa fokus merawat tanpa pusing biaya. Ini yang bikin saya semangat tiap hari. Bantu orang sebelum terlambat. WA 087781896087","#testimoni #proteksi #stroke #klaim #asuransi #manulife #cerita #keluarga #nyata #inspirasi",,
5,Jumat,IG Reels @ngobras.santuy,12:00 WIB,Video Humor 30 detik,"Gaya hidup vs tabungan - siapa menang? 😂💸 Yang satu naik terus yang satu turun terus. Relate ga? Yuk mulai proteksi biar ga kebobolan! WA 087781896087","#humor #keuangan #lifestyle #ngobrassantuy #fyp #relatable #tabungan #gayahidup #lucu #viral","Two split scenes. Left side: a young Indonesian person happily shopping with many bags in a bright mall. Right side: same person looking at empty wallet with shocked face at a hospital reception. The mall wall has graffiti art showing @ngobras.santuy. The hospital has a digital board showing 087781896087. Bright colorful lighting on left and cold fluorescent on right creating contrast. 4K photorealistic comedic style","[0-3s HOOK] Avatar Pria tertawa: Ini pasti kamu banget! [4-12s] Gaji masuk: SHOPPING! Beli baju baru gadget baru liburan! [13-20s] Tapi giliran sakit: Duh tabungan mana ya? Kok ga cukup? [21-27s] Solusinya bukan stop belanja tapi ALOKASI. Sisihkan sedikit buat proteksi. [28-30s CTA] Tips lengkapnya? WA 087781896087! @ngobras.santuy"
5,Jumat,Threads @ngobras.santuy,07:00 WIB,Diskusi Engagement,"Kalau besok kamu didiagnosa kanker siapa yang bayar pengobatanmu? 🤔 Serius tanya. A) Tabungan sendiri B) Pinjam keluarga C) Jual aset D) Asuransi yang sudah disiapkan. Jawab jujur di reply. Kalau jawabanmu bukan D saatnya chat 087781896087","#diskusi #proteksi #kanker #biaya #asuransi #pertanyaan #jujur #keuangan #threads",,
